payment_id,amount,customer_id,customer_name,customer_phone,customer_email,razorpay_error_code,prior_payments,prior_recoveries,customer_opted_out,failed_at
pay_1d1896b2465e,9675.69,cust_c550cae6,Priya,+919819095194,priya221@example.com,BAD_REQUEST_PAYMENT_DECLINED_BY_BANK,2,1,False,2026-08-25T18:13:08.781197
pay_1611b2b4151f,34334.12,cust_c8b74d32,Isha,+919857685737,isha733@example.com,BAD_REQUEST_PAYMENT_FRAUD_DETECTED,1,1,False,2026-08-24T10:22:54.207317
pay_46b59a196997,45590.05,cust_3edbeebd,Kabir,+919868673025,kabir853@example.com,SUBSCRIPTION_CHARGE_FAILED,10,4,False,2026-08-26T02:25:05.562206
pay_d7c376ffb418,24158.66,cust_44be0acb,Meera,+919819925306,meera890@example.com,INSUFFICIENT_FUNDS,10,6,False,2026-08-26T23:09:55.421793
pay_97f0a1a25f81,14397.61,cust_2147f376,Diya,+919892816563,diya542@example.com,BAD_REQUEST_PAYMENT_CARD_INSUFFICIENT_FUNDS,8,8,False,2026-08-25T03:20:15.255379
pay_498861ab12c5,14075.5,cust_82b653a0,Rahul,+919885561172,rahul422@example.com,SUBSCRIPTION_CHARGE_FAILED,0,0,False,2026-08-24T19:21:52.185004
pay_9deece7216c0,44738.13,cust_20931428,Kabir,+919813105790,kabir864@example.com,BAD_REQUEST_PAYMENT_TIMED_OUT,3,0,False,2026-08-24T15:06:29.729822
pay_00e191cabff3,15250.76,cust_c8f31354,Nisha,+919821318562,nisha207@example.com,,1,1,False,2026-08-25T09:34:47.269891
pay_385257cc5a7f,6584.0,cust_3c9dec2d,Karan,+919816460003,karan564@example.com,,2,0,False,2026-08-26T01:59:50.166233
pay_8a21b213c521,29800.8,cust_e1b0d27a,Aarav,+919812551979,aarav163@example.com,INSUFFICIENT_FUNDS,8,8,False,2026-08-24T08:47:31.664435
pay_ee5b4f8c413f,2948.85,cust_928215dd,Rohan,+919871169356,rohan188@example.com,,11,8,False,2026-08-27T07:34:05.735477
pay_0cdc5eed94c9,19503.46,cust_618026bd,Sara,+919880818749,sara388@example.com,,3,1,False,2026-08-25T18:14:48.243010
pay_87150d32d82e,22396.04,cust_5e8614cd,Sara,+919886146090,sara350@example.com,INSUFFICIENT_FUNDS,2,0,False,2026-08-25T05:45:56.491071
pay_a788bf5ffc8c,12232.21,cust_445941f6,Ananya,+919887406367,ananya532@example.com,SERVER_ERROR_GATEWAY_TIMEOUT,1,1,False,2026-08-27T02:10:53.870352
pay_a0a48850f497,20781.3,cust_43d1724f,Meera,+919833814145,meera104@example.com,BAD_REQUEST_PAYMENT_TIMED_OUT,4,3,False,2026-08-26T09:31:18.649780
pay_169db43c798c,13852.66,cust_552a075c,Meera,+919894050422,meera31@example.com,BAD_REQUEST_PAYMENT_CARD_INSUFFICIENT_FUNDS,2,0,False,2026-08-27T05:48:56.677565
pay_3b2f140c4c94,14736.57,cust_c9ff32e1,Arjun,+919890960506,arjun916@example.com,,2,2,False,2026-08-25T07:13:49.156472
pay_027becc13ce6,48025.93,cust_2ca7adf0,Kabir,+919849385299,kabir525@example.com,INSUFFICIENT_FUNDS,1,0,False,2026-08-26T19:56:37.471788
pay_5aab84fd5a2a,7524.84,cust_6bd36fa2,Ananya,+919836975514,ananya603@example.com,INSUFFICIENT_FUNDS,12,8,False,2026-08-27T04:52:33.056803
pay_58999c8184b8,35788.04,cust_b4b8da6d,Kabir,+919877846010,kabir434@example.com,SUBSCRIPTION_CHARGE_FAILED,10,0,False,2026-08-26T10:06:47.951831
pay_c70eaf81eb5b,34631.8,cust_ab5bd059,Karan,+919873349468,karan893@example.com,,10,7,False,2026-08-25T07:30:39.974909
pay_33879bd09dc1,37660.2,cust_45efe791,Meera,+919831775887,meera194@example.com,INSUFFICIENT_FUNDS,10,4,False,2026-08-27T05:22:45.386656
pay_d95023e87621,17542.4,cust_f4b61d52,Meera,+919883955570,meera794@example.com,,11,4,False,2026-08-25T05:21:09.794975
pay_a0f9d1f17623,7495.29,cust_d01bd851,Nisha,+919822010178,nisha278@example.com,,10,8,False,2026-08-25T15:53:29.545070
pay_ba5d4b483f9e,15862.74,cust_e86d8445,Meera,+919863565667,meera561@example.com,BAD_REQUEST_PAYMENT_FRAUD_DETECTED,10,5,False,2026-08-25T00:53:39.034527
pay_2277544ad509,39797.95,cust_ea126963,Isha,+919856388962,isha319@example.com,BAD_REQUEST_PAYMENT_FRAUD_DETECTED,3,1,False,2026-08-25T01:50:34.409751
pay_ce8c31a8432a,34202.44,cust_15d822b0,Aarav,+919835238990,aarav508@example.com,,5,1,False,2026-08-27T08:03:11.646874
pay_37a07d9aa919,37209.19,cust_95eb96a2,Arjun,+919816671123,arjun319@example.com,,9,3,False,2026-08-25T14:35:19.098587
pay_b7cc00d46f2f,46219.38,cust_828aa733,Sara,+919874394012,sara285@example.com,SERVER_ERROR_GATEWAY_TIMEOUT,11,5,False,2026-08-25T01:13:04.787668
pay_02520aff2f8f,19755.45,cust_d20fb944,Arjun,+919861462227,arjun202@example.com,,1,1,False,2026-08-24T21:09:08.112797
pay_ebd97533e504,35554.21,cust_ab1d0208,Aarav,+919836904420,aarav153@example.com,BAD_REQUEST_PAYMENT_TIMED_OUT,2,0,False,2026-08-24T10:44:46.084239
pay_a3a06687bf4b,49509.56,cust_f0a750f2,Isha,+919884632974,isha517@example.com,BAD_REQUEST_PAYMENT_TIMED_OUT,5,3,False,2026-08-26T21:15:58.303662
pay_9119c1ae6c94,14171.95,cust_afe187ae,Kabir,+919864455367,kabir883@example.com,SERVER_ERROR_GATEWAY_TIMEOUT,10,7,False,2026-08-25T10:53:59.126068
pay_20598ea94c36,18789.5,cust_4f0f5315,Rahul,+919852856442,rahul826@example.com,SUBSCRIPTION_CHARGE_FAILED,8,2,False,2026-08-25T08:20:42.796484
pay_b586abc9ee90,35147.84,cust_0d93bed4,Aarav,+919836268558,aarav86@example.com,BAD_REQUEST_PAYMENT_FRAUD_DETECTED,12,5,False,2026-08-25T23:13:35.263020
pay_2ada5e1dc442,6581.71,cust_baaaf009,Ananya,+919876196794,ananya373@example.com,BAD_REQUEST_PAYMENT_CARD_EXPIRED,9,3,False,2026-08-24T14:49:14.347338
pay_5567b3d721db,15369.11,cust_4e4f8d55,Isha,+919850721156,isha955@example.com,BAD_REQUEST_PAYMENT_DECLINED_BY_BANK,2,1,False,2026-08-24T11:57:12.714272
pay_76ace9e4b088,35626.59,cust_1a009dbb,Dev,+919825648594,dev623@example.com,SERVER_ERROR_GATEWAY_TIMEOUT,9,0,False,2026-08-25T00:20:20.225044
pay_b28735d8f888,14838.81,cust_636e48dd,Rohan,+919843528475,rohan475@example.com,BAD_REQUEST_PAYMENT_DECLINED_BY_BANK,8,4,False,2026-08-24T17:09:54.637919
pay_65f5564fb02f,12702.56,cust_57bd422f,Rahul,+919847685307,rahul161@example.com,,8,5,False,2026-08-26T23:58:05.795814
pay_da95290d9e0e,7370.68,cust_e02c90c3,Priya,+919869253032,priya396@example.com,SERVER_ERROR_GATEWAY_TIMEOUT,11,7,False,2026-08-24T20:09:17.100877
